"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test dynamo serve deployments with different graph configurations.
    ","70551","test_serve_deployment[multimodal_video_disagg]","tests.serve","2026-04-10","broken","2026-04-10","","test_vllm","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","106198","test_serve_deployment[aggregated]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","0","test_serve_deployment[multimodal_agg_frontend_decoding]","tests.serve","2026-04-10","skipped","2026-04-10","","test_vllm_xpu","",""
"","74012","test_vllm_kv_router_basic[tcp]","tests.router","2026-04-10","passed","2026-04-10","","test_router_e2e_with_vllm","",""
"Test that --connector nixl raises ValueError with --kv-transfer-config hint.","5","test_connector_nixl_raises_error_with_migration_hint","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","0","test_serve_deployment[completions_only]","tests.serve","2026-04-10","skipped","2026-04-10","","test_vllm_xpu","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","165636","test_serve_deployment[completions_only]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"Test that invalid file path raises FileNotFoundError.","29","test_custom_jinja_template_invalid_path","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    End-to-end test for request cancellation functionality in aggregated mode.

    This test verifies that when a request is cancelled by the client,
    the system properly handles the cancellation and cleans up resources
    on the worker side in aggregated (single worker) mode. Tests three scenarios:
    1. Completion request
    2. Chat completion request (non-streaming)
    3. Chat completion request (streaming)

    Timing (Last Run: 2025-12-09): ~55s total
    - Engine initialization: ~15s
    - Testing 3 scenarios: ~38s (~12s each)
    - Teardown: ~2s
    ","85421","test_request_cancellation_vllm_aggregated[nats]","tests.fault_tolerance.cancellation","2026-04-10","passed","2026-04-10","","test_vllm","",""
"Test that --model-express-url takes precedence over MODEL_EXPRESS_URL.","4","test_model_express_url_cli_overrides_env[mx-target]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"","0","test_prefill[True]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"Test that --disaggregation-mode prefill without --kv-transfer-config raises ValueError.","3","test_prefill_worker_without_kv_transfer_config_raises","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"Test that --endpoint overrides even with --disaggregation-mode prefill.","20","test_endpoint_overrides_with_prefill_worker","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"Test that without --endpoint, defaults are preserved.","4","test_endpoint_not_provided_preserves_defaults","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"getaddrinfo returns 127.0.0.1, UDP returns 10.0.0.5 → returns 10.0.0.5.","0","test_hostname_loopback_falls_through_to_udp","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestGetHostIp","test_vllm_unit","",""
"Same images but different prompt should produce lower overlap than repeated same prompt.","2458","test_vllm_mm_overlap_same_images_different_prompt_less_than_same_prompt","tests.mm_router","2026-04-10","failed","2026-04-10","","test_vllm_mm_router_e2e","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","126270","test_serve_deployment[aggregated_lmcache]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"Test that missing server URL raises ValueError for mx load formats.","4","test_model_express_url_missing_raises[mx-source]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
